,brand_id,barcode,category,categoryCode,name,topBrand,brandCode,cpg_id,cpg_ref
53,592486bde410d61fcea3d124,511111100904,Personal Care,BAKING,CARESS,False,CARESS,5332f5f6e4b03c9a25efd0b4,Cogs
54,5f16f536be37ce2b30061e27,511111115083,Baking,BAKING,test brand @1595340086044,False,TEST BRANDCODE @1595340086044,5f16f535be37ce2b30061e24,Cogs
55,5332f6ede4b03c9a25efd0e5,511111603870,Baking,BAKING,Blue Bunny,False,,5332f6ede4b03c9a25efd0e6,Cpgs
56,5332fa05e4b03c9a25efd1d6,511111103141,Baking,BAKING,Krave,False,,5332f5f2e4b03c9a25efd0aa,Cpgs
57,5f3d6f44be37ce4ddbb1bb3e,511111315513,Baking,BAKING,test brand @1597861700968,False,TEST BRANDCODE @1597861700968,5f3d6f44be37ce4ddbb1bb3a,Cogs
58,5c76d3cd95144c5375687b4f,511111106876,Grocery,BAKING,DASH-2249 Brand1,True,TEST BRAND CODE,5c76d20595144c5375687b4e,Cogs
59,5f3ff223be37ce1c81aa1e11,511111115649,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598026275245,False,TEST BRANDCODE @1598026275245,5332fa12e4b03c9a25efd1e7,Cogs
60,5a8c36dbe4b0ccf165fac9e9,511111204206,Canned Goods & Soups,BAKING,Swanson,False,SWANSON,5a734034e4b0d58f376be874,Cogs
61,55b630e1e4b0d8e685c14220,511111102618,Baking,BAKING,A&W Rootbeer,False,,55b62995e4b0d8e685c14213,Cogs
62,5f3ff222be37ce1c81aa1e0f,511111415626,Baking,BAKING,test brand @1598026274668,False,TEST BRANDCODE @1598026274668,5f3ff222be37ce1c81aa1e0c,Cogs
63,5c76db7295144c5375687b50,511111306887,Frozen,BAKING,DASH-2249 Brand2,False,DASH-2249 1,5c76d20595144c5375687b4e,Cogs
64,5da609991dda2c3e1416ae90,511111805854,Health & Wellness,BAKING,ONE A DAY® WOMENS,False,511111805854,53e10d6368abd3c7065097cc,Cogs
65,5afda575e4b0c11cfecd49f9,511111104537,Snacks,BAKING,Kettle Brand,False,KETTLE BRAND,5a734034e4b0d58f376be874,Cogs
66,5ab154dde4b0915382df761f,511111404392,Canned Goods & Soups,BAKING,Campbell's Soup at Hand,False,CAMPBELLS SOUP AT HAND ,5a734034e4b0d58f376be874,Cogs
